[     235ms] [INFO] %cDownload the React DevTools for a better development experience: https://reactjs.org/link/react-devtools font-weight:bold @ http://localhost:5173/node_modules/.vite/deps/chunk-XPR23Y44.js?v=2f808839:21548
[  240359ms] [ERROR] Failed to load resource: the server responded with a status of 400 (Bad Request) @ http://localhost:8000/api/solve:0
[ 9271431ms] [LOG] [vite] server connection lost. Polling for restart... @ http://localhost:5173/@vite/client:559
[85099213ms] [ERROR] Unable to preventDefault inside passive event listener invocation. @ http://localhost:5173/node_modules/.vite/deps/chunk-XPR23Y44.js?v=2f808839:5757
[85099230ms] [ERROR] Unable to preventDefault inside passive event listener invocation. @ http://localhost:5173/node_modules/.vite/deps/chunk-XPR23Y44.js?v=2f808839:5757
[85099247ms] [ERROR] Unable to preventDefault inside passive event listener invocation. @ http://localhost:5173/node_modules/.vite/deps/chunk-XPR23Y44.js?v=2f808839:5757
[85099263ms] [ERROR] Unable to preventDefault inside passive event listener invocation. @ http://localhost:5173/node_modules/.vite/deps/chunk-XPR23Y44.js?v=2f808839:5757
[85099280ms] [ERROR] Unable to preventDefault inside passive event listener invocation. @ http://localhost:5173/node_modules/.vite/deps/chunk-XPR23Y44.js?v=2f808839:5757
[85099296ms] [ERROR] Unable to preventDefault inside passive event listener invocation. @ http://localhost:5173/node_modules/.vite/deps/chunk-XPR23Y44.js?v=2f808839:5757
[85099313ms] [ERROR] Unable to preventDefault inside passive event listener invocation. @ http://localhost:5173/node_modules/.vite/deps/chunk-XPR23Y44.js?v=2f808839:5757
[85099330ms] [ERROR] Unable to preventDefault inside passive event listener invocation. @ http://localhost:5173/node_modules/.vite/deps/chunk-XPR23Y44.js?v=2f808839:5757
[85099542ms] [ERROR] Unable to preventDefault inside passive event listener invocation. @ http://localhost:5173/node_modules/.vite/deps/chunk-XPR23Y44.js?v=2f808839:5757
[85099563ms] [ERROR] Unable to preventDefault inside passive event listener invocation. @ http://localhost:5173/node_modules/.vite/deps/chunk-XPR23Y44.js?v=2f808839:5757
[85099580ms] [ERROR] Unable to preventDefault inside passive event listener invocation. @ http://localhost:5173/node_modules/.vite/deps/chunk-XPR23Y44.js?v=2f808839:5757
